"LinAccX" "LinAccY" "LinAccZ"
"183" -1.45 13.91 1.23
"184" 5.02 12.66 4.84
"185" 15.11 5.63 -0.87
"186" 17.11 -11.5 -9.75
"187" 38.63 29.24 -32.44
"188" -48.82 36.22 -38.05
"189" -39.97 18.53 -2.14
"190" -8.16 15.95 -1.03
"191" -2.24 17.82 2.06
"192" 7.65 7.75 2.84
"193" 14.84 5.06 -3.02
"194" 24.63 0.76 -18.44
"195" 16.1 33.05 -31.86
"196" -48.64 29.18 -15.12
"197" -28.11 4.2 -0.76
"198" -7.54 24.91 1.94
"199" -0.69 10.42 8.99
"200" 10.95 1.96 8.61
"201" 22.42 -12.78 -10.11
"202" 38.86 30.68 -34.61
"203" -45.83 8.04 -38.16
"204" -36.86 7.03 -13.22
"205" -13.05 37.22 8.23
"206" 4.36 21.15 5.63
"207" 12.61 8.32 4.64
"208" 25.31 5.98 -10.29
"209" 40.77 29.53 -39.14
"210" -27.08 36.07 -35.11
"211" -47.66 2.53 -1.92
"212" -14.76 33.78 3.02
"213" 1.21 19.86 11.9
"214" 10.68 8.47 0.59
"215" 27.53 9.03 -4.36
"216" 40.72 29.58 -38.2
"217" -37.23 18.29 -36.09
"218" -40.43 21.57 -6.49
"219" -7.8 12.83 -7.97
"220" 3.12 9.24 -8.84
"221" 8.45 9 -4.96
"222" 5.64 1.02 0.51
"223" 1.71 1.04 0.66
"224" -0.84 -0.24 -0.26
"225" -1.97 0.12 -0.61
"226" -1.32 -0.1 -1.25
"227" -0.86 0.18 -0.93
"228" -0.95 0.22 -0.77
"229" -0.35 0.34 -0.39
"230" -0.07 0.32 -0.13
"231" -0.53 0.04 0
"232" -0.14 -0.75 -0.31
"233" -0.29 0.18 -0.47
"234" -0.21 -0.02 -0.3
"235" 0.01 -0.58 -0.4
"236" -0.23 -0.14 0.22
"237" -0.03 0.33 -0.28
"238" -0.71 -0.09 -0.24
"239" 0.35 0.67 -0.68
"240" 0.26 0 -0.38
"241" 0.06 0 -0.09
"242" -0.06 -0.53 0.12
"243" -0.03 0.35 -0.09
"244" -0.23 0.84 0.04
"245" -0.53 -0.23 0.57
"246" -0.49 0.07 0.21
"247" -0.11 0.08 -0.47
"248" -0.07 -0.13 -0.55
"249" 0 0.23 -0.59
"250" -0.06 -0.03 -0.25
"251" -0.01 0.12 -0.2
"252" -0.09 -0.25 -0.37
"253" 0.07 0.06 -0.22
"254" 0.26 -0.15 -0.14
"255" 0.09 0.08 -0.17
"256" 0.16 -0.29 -0.44
"257" 0.03 0.06 -0.1
"258" 0.27 0.05 -0.38
"259" 0.34 -0.19 -0.11
"260" 0.17 -0.08 -0.06
"261" -0.24 0.08 -0.37
"262" 0.2 -0.05 -0.52
"263" 0.32 0.61 -0.49
"264" -0.08 0.35 -0.57
"265" -0.01 -0.25 -0.32
"266" 0.13 0.63 -0.02
"267" -0.15 -0.44 -0.03
"268" -0.3 0.91 0.54
"269" -0.72 -1.75 0.58
"270" -0.02 -0.13 0.31
"271" 0.39 -0.01 0.19
"272" 0.47 -0.34 0.27
"273" 0.33 -0.08 0
"274" 0.03 -0.56 -0.11
"275" -0.1 -0.12 -0.05
"276" -0.3 -0.17 0.12
"277" -0.24 0.05 -0.09
"278" -0.18 -0.16 -0.17
"279" -0.32 -0.08 -0.21
"280" 0.15 0.07 -0.35
"281" 0.15 0.3 0.12
"282" 0.16 0.25 0
"283" 0.16 -0.13 0
"284" -0.02 -0.31 0.22
"285" -0.16 0.23 0.24
"286" -0.36 -0.27 0.17
"287" 0.07 -0.27 0
"288" 0.44 -0.1 -0.25
"289" 0.52 0.42 0.03
"290" 0.08 -0.54 0.4
"291" 0.05 -0.13 0.18
"292" -0.84 -0.21 -2.41
"293" -0.37 0.52 -1.75
"294" -1.07 -0.73 -1.96
"295" -0.48 -0.89 -0.8
"296" -0.22 0.1 -0.65
"297" -0.23 -0.26 -0.56
"298" -0.15 -0.13 -0.17
"299" -0.39 -0.4 0.24
"300" 0.35 0.63 -0.02
"301" 0.17 0.75 -0.36
"302" 0.16 -0.38 -0.53
"303" 0.2 -0.38 -0.64
"304" -0.06 -0.35 -0.31
"305" -0.07 -0.55 0
"306" 0.01 -0.02 0
"307" -0.01 0.02 0.17
"308" -0.14 0.02 0.15
"309" -0.2 0.06 -0.16
"310" -0.27 -0.23 -0.22
"311" -0.05 0.07 -0.36
"312" 0.1 -0.12 -0.23
"313" 0.01 -0.13 -0.15
"314" 0.02 0.1 -0.18
"315" 0 -0.2 0.15
"316" -0.12 -0.06 0.18
"317" -0.06 -0.06 0
"318" -0.06 -0.15 -0.21
"319" -0.03 -0.02 -0.24
"320" -0.1 0.1 -0.17
"321" -0.09 -0.14 -0.32
"322" 0.04 -0.06 -0.57
"323" 0.12 -0.03 -0.59
"324" -0.05 -0.16 -0.38
"325" 0.1 0.1 -0.27
"326" 0.04 -0.21 -0.08
"327" -0.02 -0.19 0.04
"328" 0.06 0.12 -0.34
"329" 0 -0.19 -0.3
"330" -0.22 -0.42 -0.03
"331" 0.03 -0.38 -0.51
"332" 0.04 -0.28 -0.13
"333" 0.24 -0.04 -0.14
"334" -0.03 -0.51 -0.13
"335" -0.04 -0.1 0.07
"336" -0.37 -0.54 0.04
"337" 0.04 -0.2 -0.2
"338" 0.23 -0.47 -0.38
"339" 0 -0.04 -0.61
"340" 0.19 -0.03 -0.25
"341" 0.16 0.29 0.18
"342" 0.08 0.5 -0.39
"343" 0.06 0.54 -0.64
"344" -0.22 -0.32 -0.19
"345" -0.07 -0.38 -0.05
"346" -0.3 -0.6 0.2
"347" 0.21 -0.22 -0.08
"348" 0.04 0.16 -0.12
"349" 0.51 0.21 -0.17
"350" -0.45 0.12 -0.09
"351" -0.84 0.11 -0.34
"352" -0.9 -0.62 0.04
"353" -0.36 -0.89 -0.08
"354" 0.55 -0.09 -0.34
"355" 0.52 0.26 -0.26
"356" 0.03 0.06 -0.41
"357" -0.56 -0.25 -0.31
"358" 0.03 0.53 0.16
"359" 0 -0.48 0.31
"360" 0.41 1.26 -0.95
"361" 7.83 8.45 -5.9
"362" 20.75 1.28 -15.69
"363" 1.55 -26.07 -39.61
"364" 9.62 -6.8 -48.9
"365" -9.22 2.23 -8.13
"366" -0.44 -1.28 0.02
"367" 8.57 -8.93 2.73
"368" 5.07 -2.24 2.72
"369" 2.89 0.19 -0.74
"370" 1.62 1.16 0.29
"371" 0.79 0.96 0.24
"372" 0.25 0.12 0.04
"373" 0.3 0.53 -0.54
"374" 8.12 3.05 -1.96
"375" 27.26 4.38 -10.83
"376" -10.27 -39.01 -47.41
"377" 7.92 6.78 -46.17
"378" -6.42 9.33 -1.91
"379" 4.81 -2.61 0.82
"380" 6.19 -5.37 -1.83
"381" 6.51 -1.37 -1.76
"382" 2.74 -0.65 -0.79
"383" 1.45 -0.38 -0.56
"384" 0.94 -0.86 -0.4
"385" 0.35 0.4 0.26
"386" 7.93 4.62 -4.08
"387" 13.04 1.68 -8.12
"388" 23.57 -33.73 -25.3
"389" -38.18 -32.48 26.56
"390" -22.49 -30.68 6.42
"391" -2.37 -5.54 0.09
"392" 3.29 -6.43 0.95
"393" 3.21 -4.53 -0.06
"394" 4.98 -1.41 -1.64
"395" 3.87 -1.13 -0.6
"396" 2 -0.21 0.28
"397" 1.46 -0.85 -0.17
"398" 0.69 -1.43 0.15
"399" 0.19 -1.11 -0.22
"400" 1.39 -0.49 -1.56
"401" 9.82 2.1 -2.58
"402" 29.93 11.56 -22.54
"403" 1.93 -37.72 -33.34
"404" -38.97 -7.8 15.83
"405" -10.23 6.18 -1.71
"406" 1.92 1.55 -0.15
"407" 5.02 1.55 0.52
"408" 3.39 -1.18 -1.29
"409" 3.36 0.61 -0.2
"410" 3.08 -1.04 0.35
"411" 3.05 -2.07 -0.66
"412" 3.5 -0.78 -1.01
"413" 7.16 0.19 -2.07
"414" 11.73 4.09 -5.37
"415" 28.14 -24.97 -6.96
"416" -38.73 37.53 29.31
"417" -12.24 -20.87 -3.9
"418" -10.9 2 2.43
"419" -2.67 -1.42 -2.42
"420" 1.92 -2.74 -0.91
"421" 3.13 -4 -1.91
"422" 5.63 -2.21 -2.4
"423" 7.12 -2.07 -2.03
"424" 4.4 -1.22 -1.34
"425" 1.56 -1.79 -1.2
"426" 0.35 -1.27 -0.7
"427" -0.39 -1.37 -0.34
"428" -0.33 -0.94 -1.09
"429" -0.48 -0.64 -0.5
"430" -0.76 -0.37 -0.45
"431" -0.85 -0.52 -0.37
"432" -0.42 -0.28 -0.77
"433" 0.02 -0.31 -0.33
"434" 0.09 -0.57 0.01
"435" 0.24 -0.47 -0.62
"436" 0.23 -0.28 -0.72
"437" -0.28 -0.57 -0.02
"438" 0.22 -0.8 -0.37
"439" 0.66 -0.42 -0.72
"440" 0.32 -0.24 -0.36
"441" 0.24 -0.26 -0.4
"442" -0.02 -0.67 -0.17
"443" 0.04 -0.18 -0.64
"444" -0.36 -0.07 0.01
"445" -0.02 -0.07 -0.33
"446" 0.05 -0.55 -0.12
"447" 0.23 -0.16 -0.32
"448" 0.11 -0.01 -0.11
"449" 0.24 -0.49 0.06
"450" 0.25 -0.27 -0.39
"451" 0.22 -0.58 0.28
"452" 0.62 0.48 -0.51
"453" -0.24 -0.08 -0.11
"454" -0.13 -0.45 0.01
"455" 0 -0.19 0
"456" 0.31 -0.25 -0.22
"457" 0.13 -0.21 -0.08
"458" 0.11 -0.14 -0.05
"459" 0.29 -0.18 -0.2
"460" 0.19 -0.12 -0.02
"461" 0.13 -0.22 -0.04
"462" 0.13 -0.13 -0.15
"463" 0.09 0.59 -0.16
"464" -0.02 -0.22 0.12
"465" 0.19 -0.29 -0.29
"466" 0.33 -0.54 -0.15
"467" 0.16 0.4 -0.33
"468" 0.14 0.15 -0.09
"469" 0.13 0.15 -0.09
"470" 0.16 0.12 -0.1
"471" -0.1 0.34 0.13
"472" 0.09 0.13 -0.13
"473" 0.03 0.85 -0.4
"474" -0.09 0.36 0.17
"475" -0.14 0.41 0.29
"476" -0.32 -0.47 -0.1
"477" -0.12 0.57 -0.17
"478" 0.01 -0.09 -0.3
"479" 0.72 -1.74 -0.67
"480" 0.15 0.27 -0.02
"481" 0 -1.53 0.09
"482" 0.54 0.59 -0.2
"483" 0.97 -0.09 -0.4
"484" 0.79 -0.14 -0.49
"485" -0.47 -0.3 -0.06
"486" -0.9 -0.51 0.17
"487" -0.62 -0.4 0.25
"488" 0.69 -0.75 0.2
"489" 1.07 1.31 -0.16
"490" -0.89 -0.5 0.11
"491" -1.26 -0.51 -0.34
"492" -0.46 -0.34 0.04
"493" 0.22 0.42 0.04
"494" -0.5 0.46 0.35
"495" -0.29 0.72 0.08
"496" -2.34 1.79 2.28
"497" -10.66 -6.1 5.13
"498" -5.18 -18.71 -14.44
"499" 40.18 13.17 -32.88
"500" 4.7 26.68 -31.29
"501" -48.72 8.47 -16.76
"502" -0.18 9.29 -15.62
"503" 6.92 5.31 -7.9
"504" 3.98 6.95 -0.27
"505" 3.06 1.2 -0.31
"506" 0.43 -1.38 0.24
"507" 0.6 -4.69 2.56
"508" 1.27 -0.04 1.41
"509" 0.9 2.02 0.63
"510" 0.45 -1.89 1.04
"511" 2.14 -7.5 0.2
"512" 15.01 -13.21 -4.07
"513" 36.36 17.55 -30.58
"514" -48.6 9.77 -11.76
"515" -22.19 13.46 10.36
"516" 2.51 7.82 -15.5
"517" 1.91 0.83 -5.02
"518" -0.69 2.86 3.23
"519" 1.31 3.17 1.72
"520" 3.44 -0.06 2.49
"521" 3.84 0.59 1.01
"522" 2.79 -1.68 0.81
"523" 1.53 -1.98 1.44
"524" 7.11 -5.24 -5.04
"525" 20.98 3.19 -15.72
"526" 28.88 33.64 -31.69
"527" -48.68 4.23 -22.1
"528" -26.64 19.71 7.81
"529" 3.2 9.72 -14.85
"530" 0.72 5.31 -5.09
"531" 0.76 3.59 -1.47
"532" 1.24 2.84 1.97
"533" 0.29 0.5 3.59
"534" 0.59 -0.34 1.55
"535" 2.71 0.54 -0.67
"536" 1.14 -1.22 -0.12
"537" 0.57 -2.73 0.93
"538" 2.65 -4.69 -2.61
"539" 14.7 -8.94 -12.56
"540" 39.41 29.47 -32.24
"541" -48.44 34.92 -34.35
"542" -37.47 0.29 0.61
"543" -3.04 7.8 -9.78
"544" -2.86 7.07 -4.69
"545" -1.66 5.84 5.31
"546" -1.51 3.27 5.92
"547" 1.6 2.8 0.76
"548" 2.98 3.87 -0.37
"549" 3.15 0.81 -0.14
"550" 2.87 0.57 0.57
"551" 3.89 -2.82 -1.51
"552" 10.16 -2.05 -7.17
"553" 22.74 0.08 -21.99
"554" 14.28 32.42 -30.15
"555" -48.54 23.64 -11.72
"556" -14.74 7.28 -1.38
"557" -1.16 5.51 -9.52
"558" -0.39 3.01 -3.65
"559" -0.87 2.98 4.11
"560" -0.01 1.56 2.45
"561" -0.76 -0.32 1.29
"562" 0.23 3.05 0.44
"563" 2.26 2.15 -0.45
"564" 4.53 -1.62 -2.29
"565" 9.33 -3.54 -6.55
"566" 17.15 5.47 -20.56
"567" 11.24 34.83 -30.75
"568" -48.77 2.87 -15.73
"569" -32.19 13.79 8.47
"570" 0.65 14.87 -5.07
"571" 0.7 12.59 2.86
"572" 2.26 5.87 5.69
"573" 3.53 1.11 1.07
"574" 4.12 1.67 -1.29
"575" 1.73 -1.63 -0.66
"576" 2.21 -0.65 0.1
"577" 1.43 0.9 0.79
"578" 1.66 1.78 0.36
"579" 1.78 1.51 -0.14
"580" 0.86 0.5 1.41
"581" 0.19 0.74 0.39
"582" -1.01 -0.78 0.95
"583" -1.13 -1.35 0.74
"584" -0.47 0.46 -0.95
"585" -1.19 -0.41 -1.63
"586" -1.45 -1.01 -1.02
"587" -0.26 -0.71 -1.66
"588" -0.21 -0.57 -2.1
"589" -1.11 -0.42 -1.31
"590" -1.74 -1.21 -0.26
"591" -1.15 0.11 -0.03
"592" 0.48 0.47 -0.95
"593" 0.43 0.38 -1.12
"594" -0.33 0.73 -1
"595" -0.4 -0.66 -0.35
"596" -1.36 -0.07 -0.32
"597" -1.41 -0.68 0.21
"598" -0.97 -0.83 0.28
"599" -0.58 -0.15 -0.17
"600" -0.87 -0.05 0.23
"601" -0.47 -0.06 0.16
"602" -0.02 0.1 -0.31
"603" 0.32 -0.25 -0.38
