"LinAccX" "LinAccY" "LinAccZ"
"270" 0.5 -0.33 0.21
"271" 0.04 0.36 -0.17
"272" 0.32 -0.07 -0.21
"273" 0.41 -0.07 -0.02
"274" 0.05 0.31 0.31
"275" 0.4 0 0.33
"276" -0.09 0.12 -0.41
"277" 0.2 -0.07 -0.22
"278" 0.22 -0.2 0.43
"279" 0.16 0.34 0.04
"280" -0.12 0.82 0.06
"281" -0.31 0.3 0.07
"282" -0.27 0.02 -0.36
"283" -0.48 0.27 -0.03
"284" 1.87 2.02 -0.51
"285" 17.88 8.69 1.67
"286" 17.74 -44.38 -7.39
"287" -21.04 -17.86 -19.07
"288" -4.35 -4.54 1.57
"289" 17.13 -5.91 3.31
"290" 13.5 2.74 0.1
"291" 28.08 2.68 -1.91
"292" -39.01 -41.1 -1.33
"293" -0.61 -37.24 23.8
"294" -14.17 1.31 -6.63
"295" 5.62 -6.51 4.15
"296" 11.25 0.28 4.08
"297" 12.37 3.59 4.08
"298" 35.86 -23.52 2.71
"299" -37.63 38.56 29.65
"300" -7.72 -1.26 -1.22
"301" -13.27 -1.26 0.31
"302" 0.32 -1.49 3.39
"303" 10.92 2.63 -2.15
"304" 27.68 4.97 2.15
"305" 15.75 -36.4 -18.28
"306" -7.66 -18.61 -28.25
"307" -10.75 -2.01 -0.93
"308" -3.44 -2 -1.3
"309" 6.95 -1.99 -1.75
"310" 19.55 1.23 1.23
"311" 34.96 -8.73 9.91
"312" -39.07 -25.52 29.73
"313" -2.14 -16.81 7.46
"314" -5.86 -2.77 -2.71
"315" -0.2 -4.62 -0.67
"316" 7.34 1.78 -1.12
"317" 20.03 2.5 -2.22
"318" 33.41 -7.77 14.86
"319" -37.99 -42.11 19.4
"320" 0.45 -29.29 12.49
"321" -11.4 -1.23 -3.36
"322" 3.27 -4.37 -0.26
"323" 16.63 -1.15 -2.66
"324" 32.24 -3.48 6.54
"325" -20.56 -41.02 -14.49
"326" 3.09 -20.68 -29.84
"327" -13.83 -0.88 -5.19
"328" 4.38 -4.05 0.33
"329" 8.75 0 2.95
"330" 5.25 4.53 -2.6
"331" 2.6 1.1 0.07
"332" 0.83 -0.4 -0.73
"333" 0.08 0.43 -1.14
"334" 0.21 -0.06 2.01
"335" -0.19 -1.39 0.01
"336" -1.45 -0.04 -0.02
"337" 0.68 -2.8 0.42
"338" -0.35 2.33 0.62
"339" 0.93 -0.56 0.99
"340" 0.59 0.34 -0.67
"341" 0.33 0.38 -0.97
"342" 0.5 0.22 0.54
"343" 0.64 -0.07 0.03
"344" 0.55 0.4 0.2
"345" 0.94 -0.27 0.18
"346" 0.44 -0.1 0.55
"347" 0.39 -0.34 0.14
"348" 0.49 -0.13 0.23
"349" -0.23 0.46 -0.74
"350" -0.3 0.23 0.32
"351" -0.02 0.32 0.58
"352" 0.46 1.36 0.62
"353" 1.84 -1.8 -1.92
"354" 1.36 0.12 3.07
"355" -0.34 -1.01 0.9
"356" -1.13 0.12 0.89
"357" -0.82 1.62 0.32
"358" 0.36 1.69 -0.67
"359" 0.55 1.22 -1.46
"360" 0.48 0.57 0.13
"361" 0.09 0.58 -0.97
"362" 0.11 0.87 -0.73
"363" 0.13 1.83 -1.21
"364" -0.62 0.66 -0.18
"365" -0.17 0.72 -0.43
"366" 0.27 0.49 -0.16
"367" -0.11 -0.05 -0.45
"368" -0.8 0.11 0.22
"369" -1.35 -0.59 1.59
"370" -1.94 -1.41 0.39
"371" -0.77 1.91 4.2
"372" -0.18 2.78 3.08
"373" 0.46 -0.18 -0.51
"374" 0.63 -2.68 -0.5
"375" 1.91 -3.49 -1.34
"376" -0.02 -3.27 -1.09
"377" -0.86 1.88 1.34
"378" 0.15 0.7 4.1
"379" 0.43 -1.15 0.94
"380" 1.02 -0.74 -0.35
"381" 0.04 0.42 0.53
"382" 0.19 0.22 -1.3
"383" 0.4 -0.88 -0.18
"384" 0.22 0.49 0.51
"385" 1.56 0.63 0.07
"386" 15.27 6.24 -0.75
"387" 37.32 -16.86 7.54
"388" -35.87 35.79 12.14
"389" -6.32 -8.32 7.62
"390" -7.21 3.65 5.03
"391" -9.18 1.26 1.09
"392" -3.53 -3.38 1.15
"393" 5.68 -4.25 1.15
"394" 15.56 -2.53 5.73
"395" 29.19 2.44 -0.98
"396" -39.6 -44.44 -13.17
"397" 16.96 -42.73 -11.97
"398" -3.17 0.23 6.85
"399" -5.48 1.32 3.37
"400" -6.88 -4.21 -4.82
"401" -2.09 -5.34 -0.37
"402" 4.2 -2.63 0.69
"403" 17.11 0.87 4.47
"404" 30.74 -7.39 11.82
"405" -40.75 -42.56 -2.14
"406" 7.91 -31.58 12.86
"407" 1.99 -7.1 4.44
"408" -3.3 -0.03 1.94
"409" -6.42 -1.65 0.62
"410" -3.25 -3.75 -1.6
"411" 1.59 -0.94 -0.78
"412" 8.93 -2.72 0.95
"413" 15.96 4.36 3.1
"414" 35.6 -18.61 14.33
"415" -38.54 -4.17 10.59
"416" -7.91 -2.44 20.48
"417" -4.36 0.91 6.33
"418" -7.6 0.22 4.51
"419" -6.64 -3.32 -0.85
"420" 1.37 -4.05 -0.48
"421" 11.32 -2.42 1.59
"422" 21.5 0.25 4.69
"423" 32.29 -8.01 16.73
"424" -39.06 -28.56 6.42
"425" -1.38 -12.64 7.82
"426" -1.26 -1.93 3.29
"427" -6.88 -2.41 -0.02
"428" -9.25 -3.27 -2.55
"429" -2.5 -3.86 -0.2
"430" 13.06 -1.78 -0.7
"431" 31.53 2.26 0.02
"432" 25.25 -24.74 -0.59
"433" -35.99 8.04 31
"434" -0.38 -16.67 20.19
"435" -5.82 2.56 6.1
"436" -9.47 -1.25 -1.26
"437" -4.66 -7.58 -1.8
"438" 4.87 -5.24 2.65
"439" 19.75 0.49 3.7
"440" 23.38 1.27 6.33
"441" 1.39 -16.78 -25.54
"442" -12.78 2.18 -25.52
"443" -10.31 2.23 3.08
"444" -7.82 0.49 -5.66
"445" 1.16 -4.02 4.23
"446" 4.43 -1.13 2.06
"447" 6.95 -0.15 0.11
"448" 3.16 2.7 -1.4
"449" 0.65 0.6 1.91
"450" 0.21 0.04 1.06
"451" -0.5 0.13 1.73
"452" -0.03 0.81 0.17
"453" 0 1.04 -0.4
"454" 0.32 0.75 0.67
"455" 0.06 0.81 0.48
"456" -0.26 0.62 0.08
"457" 0.13 0.82 -0.04
"458" -0.14 0.71 0.12
"459" -0.74 0.96 1.48
