"LinAccX" "LinAccY" "LinAccZ"
"66" 9.96 -3.35 -6.54
"67" -0.8 -1.67 -3.89
"68" -1.89 -1.08 1.86
"69" -0.28 -0.42 -1.98
"70" -1.73 0.51 3.73
"71" -0.32 -0.9 2.34
"72" -0.34 -0.39 2.44
"73" -0.82 0.03 1.71
"74" -1.02 -0.1 1.62
"75" -0.93 -0.5 0.32
"76" -0.59 -0.79 0.4
"77" -0.77 -0.7 0.81
"78" -0.68 -0.59 0.82
"79" -0.54 -0.62 0.68
"80" -0.69 -0.79 0.9
"81" -0.72 -0.8 0.3
"82" -0.7 -0.84 -0.11
"83" -0.73 -0.9 -0.62
"84" -0.92 -0.65 -0.07
"85" -0.88 -0.44 -0.13
"86" -0.51 -1.14 -0.04
"87" -1.13 -0.73 -0.34
"88" -0.83 -0.88 -0.34
"89" -0.82 -0.68 -0.32
"90" -0.92 -0.6 -0.19
"91" -1.03 -0.62 0.03
"92" -1.03 -0.61 -0.38
"93" -0.91 -0.64 0.28
"94" -1.27 -0.4 0.29
"95" -0.91 -0.61 0.18
"96" -0.55 -0.61 0.3
"97" -0.77 -0.35 0.34
"98" -0.71 -0.4 0.28
"99" -0.64 -0.39 0.36
"100" -0.67 -0.56 0.2
"101" -0.62 -0.41 0.11
"102" -0.49 -0.41 0.14
"103" -0.37 -0.46 -0.02
"104" -0.25 -0.3 0.23
"105" -0.34 -0.08 0.32
"106" -0.2 -0.43 0.08
"107" -0.3 -0.4 0.01
"108" -0.23 -0.33 -0.2
"109" -0.24 -0.39 -0.35
"110" -0.13 -0.63 -0.48
"111" -1.09 -0.36 -0.61
"112" -1.46 -0.28 -0.94
"113" -2.3 1.44 -3.59
"114" 3.3 -3.88 2.94
"115" 38.87 -38.37 5.32
"116" -36.08 38.67 30.06
"117" 7.01 2.48 0.88
"118" 27.06 -14.3 1.33
"119" 10.65 0 0
"120" 35.86 -29.28 -48.34
"121" -39.1 -36.41 -29
"122" 27.24 1.1 15.19
"123" 3.88 -11.26 9.02
"124" 23.43 8.05 10.39
"125" 29.46 -21.79 -12.01
"126" -24.71 0.2 0
"127" 19.99 0 0
"128" -1.03 -6.96 0.23
"129" -3.21 -2.02 -1.82
"130" 37.87 -23.39 6.1
"131" -36.67 36.1 29.84
"132" 30.6 0 0
"133" 21.04 0.07 0
"134" -9.07 2.09 -3.97
"135" 39.78 8.32 29.55
"136" 0.62 0 0
"137" 3.77 0 0
"138" 27.08 -0.05 -6.76
"139" -1.87 -2.59 -6.52
"140" 40.09 1.21 29.48
"141" -38.94 -41.41 -48.49
"142" 7.25 -7.68 -14.72
"143" 29.75 -13.13 1.68
"144" -3.3 4.82 -1.47
"145" -0.13 -0.95 4.92
"146" 36.53 0.38 0
"147" 1.61 0 0
"148" 22.84 2.91 -8.35
"149" 19.52 1.82 9.02
"150" 0.52 3.61 -1.6
"151" 26.82 0 0
"152" -30.3 -38.41 -29.14
"153" -34.64 -39.86 -20.07
"154" 38.6 0 0
"155" 0.13 0 0
"156" -1.5 8.68 0.35
"157" 0.15 1.43 -1.47
"158" 0.12 -2.31 -0.74
"159" -1.39 0.96 -0.12
"160" -2.83 4.39 0.46
"161" -0.99 1.01 1.06
"162" -2.42 0.52 1.59
"163" -0.63 -0.89 1.77
"164" -0.22 -1.08 -1.37
"165" -0.99 0.27 1.15
"166" -0.58 -1.46 0.72
"167" 1.71 0 0
"168" -0.47 -0.29 0.1
"169" -0.57 -0.25 0.2
"170" -1.39 0.57 0.75
"171" -0.58 0.48 0
"172" -0.59 0.58 0.23
"173" -0.4 0.32 -0.3
"174" -0.56 0.31 0
"175" -0.09 0.47 0
"176" -0.89 0.77 -0.05
"177" -0.27 0.44 -1.18
"178" 0.22 0.47 -0.28
"179" -0.94 0.3 1.09
"180" -0.64 -0.78 0.39
"181" -1.54 -0.37 1.31
"182" 0.34 -1.66 1.4
"183" 0.71 0 0
"184" -0.35 -0.57 0.17
"185" -0.22 -0.44 0.65
"186" -0.16 -1.22 -0.4
"187" -0.35 -0.57 -0.03
"188" 0.28 0 0
"189" 0.08 0.9 0
"190" -0.01 0.51 0.75
"191" 1.95 -0.55 -1.76
"192" 0.17 0 0
"193" 1.9 0 0
"194" -1.62 0.85 1.35
"195" -2.29 -0.1 1.52
"196" -0.42 -2.2 -0.14
"197" -1.19 -0.3 -0.47
"198" -0.81 -0.3 0.41
"199" -0.67 1.5 3.06
"200" 0.21 1.08 2.14
"201" 3.42 -0.9 -1.37
"202" -0.89 2.02 2.38
"203" -0.15 0 0.23
"204" -0.56 -0.42 0.34
"205" -0.8 0.09 0.28
"206" -0.91 0.16 0.89
"207" -0.62 0.29 0.83
"208" -0.96 -0.24 0.23
"209" -1.3 0.28 1.69
"210" 0.41 -0.04 -0.57
"211" 0.13 0.97 0.26
"212" 0.32 0.26 0.83
"213" 0.05 -0.57 0.56
"214" -0.21 0 -0.24
"215" 0 0.36 -0.41
"216" 0.51 -1.36 -1.07
"217" 1.7 -3.34 -1.03
"218" -2.59 0.51 -0.64
"219" -0.21 0 -1.06
"220" -1.5 -1.04 -0.78
"221" 0.88 -2.05 -1.66
"222" -0.33 -1.24 -0.37
"223" -0.52 -0.47 -0.67
"224" -0.28 0.15 -0.44
"225" -0.12 0.48 -0.72
"226" -0.88 -0.32 -1.03
"227" -0.18 -1.15 0.38
"228" -0.42 -0.31 -0.74
"229" -0.32 -2.5 -0.53
"230" 2.83 -1.29 -2.52
"231" -6.94 1.58 2.88
"232" 9.14 -5.1 1.85
"233" 46.93 7.17 8.67
"234" -29.91 -18.24 36.78
"235" 1.31 0 0
"236" 17.28 5.52 16.24
"237" 1.19 1 -3.05
"238" 3.77 0.3 0.52
"239" 47.25 -29.98 -3.91
"240" -29.67 41.37 0.3
"241" 12.46 0 0
"242" 14.96 -8.77 9.87
"243" 1.43 2.86 -0.17
"244" 3.35 -0.2 -1.79
"245" 46.87 -13.56 16.37
"246" -29.63 5.86 -10.3
"247" -1.32 -24.96 -13.29
"248" 14.08 0.15 0
"249" 4.3 0.95 1.17
"250" 3.5 0 0
"251" 15.43 0 0
"252" -2.71 -32.09 -16.5
"253" -20.27 -40.6 -19.58
"254" 16.14 0 0
"255" 3.95 0.77 3.74
"256" 0.99 0 0
"257" 4.4 0 0
"258" 46.66 -7.33 9.8
"259" -29.66 -36.05 24.88
"260" -2.67 -26.16 -9.07
"261" 10.26 2.86 2.9
"262" 3.84 2.29 3.45
"263" 0.91 0.04 -1.04
"264" 3.33 -4.03 -0.65
"265" 46.86 -11.81 29.7
"266" -29.7 41.88 0
"267" 1.74 0 0
"268" 9.25 -1.13 8.32
"269" 4.12 3.52 0.7
"270" 1.94 3.36 -1.67
"271" 2.61 0.18 0
"272" 46.92 -16.74 25.67
"273" -29.84 5.94 0.16
"274" -2.56 -24.37 -13.53
"275" 6.54 -4.07 3.07
"276" 4.05 0 0
"277" 4.5 0 0
"278" 2.37 -3.2 -2.73
"279" -1.58 -0.09 -0.73
"280" -4.32 0.78 0.8
"281" -1.73 -0.35 -0.46
"282" -1.09 0.45 -1.76
"283" 0.94 -1.92 -0.69
"284" 0.64 -1.63 0.94
"285" -0.64 -0.18 1.54
"286" -0.63 0.22 0
"287" -3.07 1.81 -0.59
"288" 0.19 -1.64 -1.9
"289" -1.34 -0.18 0.16
"290" -0.92 -1.68 -1.19
"291" -0.58 -1.03 0.18
"292" 1.43 -1.71 -0.27
"293" -1.29 1.53 -0.08
"294" 0.59 -0.46 -1.81
"295" -0.78 0.67 0.1
"296" -0.53 0.09 1.1
"297" -0.38 0.08 -0.06
"298" 0.57 -0.06 -0.79
"299" -1.55 -0.38 0.28
"300" -0.86 -0.7 -0.45
"301" -0.21 -0.39 -0.89
"302" 0.58 -1.06 -0.49
"303" -0.42 -1.11 -0.27
"304" 0.54 -1.52 -1.28
"305" -0.23 -0.86 -0.85
"306" -1.04 -0.56 0.52
"307" -0.77 -0.14 0.52
"308" -0.85 -0.26 0.08
"309" -0.17 -1.35 -0.55
"310" -0.07 -3.41 -1.01
"311" -1.33 1.1 0.94
"312" 0.76 -0.79 -0.65
"313" -0.23 -0.85 -0.33
"314" -0.34 -0.52 -0.18
"315" -0.39 -0.23 0.17
"316" -0.39 -0.14 -0.06
"317" -0.36 -0.29 -0.43
"318" -0.51 -0.29 0.07
"319" -0.19 0.37 0.09
"320" -0.67 0.26 0.16
"321" 0.02 -1.67 -1.07
"322" -0.89 -0.7 -0.16
"323" 0.7 0.34 -0.14
"324" -0.27 -0.42 0.13
"325" -0.19 0.56 0
